Nome Ufficio,Istituzione,Tipo,Categoria,Indirizzo,Circoscrizione,Telefono,Email,Skype,Orario Lunedì,Orario Martedì,Orario Mercoledì,Orario Giovedì,Orario Venerdì,Orario Sabato,Orario Domenica,Servizi,Prenotazione,Online,Responsabile
Consigliera di Fiducia (Ombudsman),Università di Torino,Diritti,Diritti Studenti,"Via Verdi, 8 - 10124 Torino (3° piano, ascensore sx)",Centro,+39 011 6704369,consigliera.fiducia@unito.it,N/A,14:00 - 16:30 (su appuntamento),Chiuso,Chiuso,Chiuso,Chiuso,Chiuso,Chiuso,"Ascolto reclami, diritti studenti, discriminazione, molestie",Obbligatorio,Email per appuntamento,
Tasse e Diritto allo Studio,Politecnico di Torino,Tasse/Borse,Tasse e Diritto allo Studio,"Corso Duca degli Abruzzi, 24 - Cittadella Politecnica (piano terra) - 10129 Torino",Centro,+39 011 090.6254,diritto.studio@polito.it | riduzione.tasse@polito.it,N/A,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,Chiuso,Chiuso,"Iscrizione, tasse, esoneri, borse di studio, diritto allo studio",No,Sì - Moduli online,
Segreteria Generale - Servizi Studenti,Politecnico di Torino,Segreteria,Iscrizione/Carriera,"Corso Castelfidardo, 20/E - 10129 Torino",Centro,+39 011 0906254,segreteria.generale@polito.it,N/A,09:00 - 12:00,09:00 - 12:00 | 13:30 - 15:30,09:00 - 12:00,09:00 - 12:00 | 13:30 - 15:30,09:00 - 12:00,Chiuso,Chiuso,"Iscrizioni, carriera, certificati, documentazione",Consigliato,Sistema ticketing,
Mobilità Studenti - Erasmus+,Politecnico di Torino,Erasmus,Mobilità Internazionale,"Corso Duca degli Abruzzi, 24 - 10129 Torino",Centro,+39 011 0906254,incoming.students@polito.it (Incoming) | mobilita.studenti@polito.it (Outgoing),N/A,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,08:30 - 12:00 | 13:30 - 15:00,08:30 - 12:00,Chiuso,Chiuso,"Erasmus+, doppi titoli, mobilità incoming/outgoing, exchange",Consigliato,Email,
Special Needs (Disabilità e DSA),Politecnico di Torino,Inclusione,Inclusione e Accessibilità,"Corso Duca degli Abruzzi, 24 - 10129 Torino",Centro,+39 011 0906254,special.needs@polito.it,N/A,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Su appuntamento,Chiuso,Chiuso,"Supporto disabilità, DSA, ausili tecnici, adattamenti didattici",Obbligatorio,Email per prenotazione,
Centro Linguistico di Ateneo - CLA,Politecnico di Torino,Lingue,Supporto Accademico,"Corso Duca degli Abruzzi, 24 - 10129 Torino",Centro,N/A,cla@polito.it,N/A,09:30 - 13:00,N/A,11:00 - 15:00,N/A,09:30 - 13:00,Chiuso,Chiuso,"Corsi lingua, certificazioni, supporto linguistico",No,Sì,
EDISU - Sportello Principale,EDISU Piemonte,Borse/Alloggio,"Borse, Alloggio, Ristorazione","Via Madama Cristina, 83 - 10126 Torino",Centro,+39 011 6531111,info@edisu.piemonte.it,N/A,09:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,Chiuso,Chiuso,"Borse di studio, alloggio, ristorazione, diritto allo studio",Appuntamento per casi particolari,Sportello Studente Online,
EDISU - Ufficio Borse di Studio,EDISU Piemonte,Borse,Tasse e Diritto allo Studio,"Via Madama Cristina, 83 - 10126 Torino",Centro,+39 011 6531111,borse@edisu.piemonte.it,N/A,09:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,Chiuso,Chiuso,"Borse di studio, diritto allo studio, esoneri tasse",No,Sportello Studente Online,
EDISU - Ufficio Alloggio e Residenze,EDISU Piemonte,Alloggio,Alloggio,"Via Madama Cristina, 83 - 10126 Torino",Centro,+39 011 6531111,alloggio@edisu.piemonte.it,N/A,09:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,Chiuso,Chiuso,"Assegnazione posti letto, residenze universitarie, costi",Sì - Online,Sportello Studente Online,
EDISU - Ufficio Ristorazione,EDISU Piemonte,Ristorazione,Ristorazione,"Via Madama Cristina, 83 - 10126 Torino",Centro,+39 011 6531111,ristorazione@edisu.piemonte.it,N/A,09:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,08:00 - 12:00,Chiuso,Chiuso,"Mense, menu speciali, tariffe agevolate, app Campus Piemonte",No,App Campus Piemonte,
eCampus - Sede Torino,Università eCampus (Telematica),Telematica,Iscrizione/Carriera,"Via Bertola, 34 (piano 3°) - 10122 Torino",Centro,011/4546152,segreteria.torino@uniecampus.it,N/A,09:00 - 17:00 (Telefonico),09:00 - 17:00 (Telefonico),09:00 - 17:00 (Telefonico),09:00 - 17:00 (Telefonico),09:00 - 17:00 (Telefonico),Chiuso,Chiuso,"Segreteria, aule seminari, sessioni d'esame, supporto online",Consigliato,Sì - Piattaforma GOMP,
IUL (Università Telematica degli Studi) - Contatti,Università Telematica IUL,Telematica,Iscrizione/Carriera,Firenze (Sede principale) - Online per studenti Torino,Online,+39 055 0380900 (IVR con selezioni),segreteria@iuline.it,N/A,09:00 - 12:00 | 14:30 - 17:30,09:00 - 12:00 | 14:30 - 17:30,09:00 - 12:00 | 14:30 - 17:30,09:00 - 12:00 | 14:30 - 17:30,09:00 - 12:00 | 14:30 - 17:30,Chiuso,Chiuso,"Corsi online, laurea a distanza, supporto 24/7, DSA",No,Sì - Piattaforma GOMP,
Università Cattolica - Sede Nazionale,Università Cattolica del Sacro Cuore,Privata,Informazioni Generali,"Sedi in Milano, Brescia, Roma, Piacenza (Torino: servizi limitati)",Vario,"800.954.459 (lun-ven 8-19, sab 9-13)",orientamento@unicatt.it,N/A,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,09:00 - 13:00,Chiuso,"Informazioni corsi, iscrizioni, orientamento",No,Sì - Form online,
Link Campus University - Sede Roma (Online per Torino),Link Campus University (Privata),Privata,Iscrizione/Carriera,"Via del Casale di San Pio V, 44 - ROMA (Sede Principale)",Roma,+39 06 3400 6000,amministrazionestudenti@unilink.it,N/A,09:30 - 13:30 | 15:00 - 18:00,09:30 - 13:30 | 15:00 - 18:00,09:30 - 13:30 | 15:00 - 18:00,09:30 - 13:30 | 15:00 - 18:00,09:30 - 13:30 | 15:00 - 18:00,09:00 - 13:00 (su appuntamento),Chiuso,"Laurea triennale/magistrale, orientamento, master",Consigliato,Sì - Videoconferenza,
"Conservatorio Statale ""Giuseppe Verdi"" - Torino",Conservatorio Verdi (AFAM),Musica,Accademia Musicale,"Via Mazzini, 11 - 10123 Torino",Centro,+39 011 888.470 | 011 817.84.58,info@pec.conservatoriotorino.eu (PEC),N/A,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,Chiuso,Chiuso,"Lauree musica, diploma, corsi perfezionamento, esami",No,Email per info,
IAAD - Istituto d'Arte Applicata e Design,IAAD (AFAM - Accademia Design),Design,Accademia Design,"Via Pisa, 5/D - 10152 Torino",San Salvario,+39 011.548868,info@iaad.it,N/A,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,09:00 - 13:00 | 14:00 - 17:00,Chiuso,Chiuso,"Lauree design, moda, grafica, master, corsi specializzazione",No,Email per info,
